,mean_val_score,std_val_score,rank_val_score,model__class_weight,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
0,0.776595744680851,0.41652706277557217,120,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,1,100
1,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,1,400
2,0.7872340425531915,0.40926349067385837,105,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,3,100
3,0.7659574468085106,0.42339890940707225,135,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,3,400
4,0.7446808510638298,0.4360404581259403,160,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,5,100
5,0.7446808510638298,0.4360404581259403,160,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,5,400
6,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,1,100
7,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,1,400
8,0.8617021276595744,0.3452123561614458,1,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,3,100
9,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,3,400
10,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,5,100
11,0.723404255319149,0.447314809396354,189,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,5,400
12,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,1,100
13,0.8404255319148937,0.3662109463416703,10,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,1,400
14,0.7659574468085106,0.42339890940707225,135,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,3,100
15,0.7978723404255319,0.40158693804631646,92,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,3,400
16,0.723404255319149,0.447314809396354,189,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,5,100
17,0.7553191489361702,0.42989781598248406,145,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,5,400
18,0.8617021276595744,0.3452123561614458,1,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,1,100
19,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,1,400
20,0.7872340425531915,0.40926349067385837,105,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,3,100
21,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,3,400
22,0.7659574468085106,0.4233989094070722,135,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,5,100
23,0.7446808510638298,0.4360404581259403,160,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,5,400
24,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,1,100
25,0.8404255319148937,0.36621094634167034,10,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,1,400
26,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,3,100
27,0.7872340425531915,0.40926349067385837,105,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,3,400
28,0.7340425531914894,0.44184169483606767,178,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,5,100
29,0.7659574468085106,0.4233989094070722,135,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,5,400
30,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,1,100
31,0.8617021276595744,0.3452123561614458,1,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,1,400
32,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,3,100
33,0.776595744680851,0.41652706277557217,120,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,3,400
34,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,5,100
35,0.7659574468085106,0.42339890940707225,135,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,5,400
36,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,1,100
37,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,1,400
38,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,3,100
39,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,3,400
40,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,5,100
41,0.776595744680851,0.41652706277557217,120,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,5,400
42,0.8297872340425532,0.3758196113330999,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,1,100
43,0.851063829787234,0.35602554320598956,5,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,1,400
44,0.7978723404255319,0.40158693804631646,92,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,3,100
45,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,3,400
46,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,5,100
47,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,5,400
48,0.8404255319148937,0.3662109463416704,10,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,1,100
49,0.8191489361702128,0.3848947343643732,48,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,1,400
50,0.8297872340425532,0.3758196113330999,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,3,100
51,0.7978723404255319,0.40158693804631646,92,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,3,400
52,0.8085106382978723,0.3934732342320624,71,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,5,100
53,0.7872340425531915,0.40926349067385837,105,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,5,400
54,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,1,100
55,0.8297872340425532,0.37581961133309993,22,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,1,400
